Artist,Song
Hillsong United,Mercy Mercy
Jeremy Riddle;Bethel Music,Fall Afresh
All Sons & Daughters,Called Me Higher
Caedmon's Call,Faith My Eyes
Steve Bell,Remember Me
Steven Curtis Chapman,I Will Be Here
Jars Of Clay,Fall Asleep
Josh Wilson,I See God in You
JJ Heller,When I'm With You
All Saved Freak Band;Rob Galbraith,Old Rugged Cross (feat. Rob Galbraith)
Elevation Worship,We Rejoice
Paul Tony Lambert;Lambert,Signals
Clint Mansell;Kronos Quartet,Together We Will Live Forever
Philip Glass;Martin Jacoby,Opening
Deaf Center,Time Spent
Goldmund,Threnody
Max Richter,Lamentation For A Lost Life
Sylvain Chauveau,Pour Les Oiseaux
Hauschka,So Far
Alexandre Desplat,The Danish Girl
RY X,Dawn
James Heather,Biomes
Rui Massena,Valsa
Giles Lamb,September
Dustin O'Halloran,"An Ending, A Beginning"
Traditional;Bugge Wesseltoft;Henning Kraggerud,Margit Hjukse
Dustin O'Halloran,Home
Max Richter,Embers
Sarah Hagen,"Poetic Tone-Picture In A Major, Op. 3, No. 4"
Jean-Michel Blais;BUFFLO,Nostos
Henry Purcell;Luc Beauséjour,"Ground in C Minor, ZD 221"
Ben Lukas Boysen,Selene
Greg Barley,Moonbeams
Igor Stravinsky;Matt Haimovitz;Christopher O'Riley,Suite italienne (Version for Cello & Piano): II. Serenata
Maxence Cyrin,Where Is My Mind
Max Richter,Dinner And The Ship Of Dreams
Martin Jacoby,Hommage
Julia Kent,Gardermoen
Charlie Key,Stairs and Steps
Erik Satie;Lavinia Meijer,Gymnopédie No. 1
Whitetree;Ludovico Einaudi;Robert Lippok;RONALD LIPPOK,Koepenik
Mélanie Laurent,Fin
Ignacy Jan Paderewski;Jenny Lin,"Miscellanea, Op. 16: No. 4, Nocturne in B-Flat Major"
Alexandre Desplat,Extremely Loud And Incredibly Close
Chance's End,Diamond In Disguise
Alexandra Streliski,Sous L'eau
Piano Novel,Rosée
Johann Pachelbel;Music Lab Collective;Valentina Lisitsa,"Canon in D Major, P.37"
London Metropolitan Orchestra;The Cinematic Orchestra,Soda
Thomas Enhco;Vassilena Serafimova,Éclipse
Dario Marianelli;Jean-Yves Thibaudet,"Stars and Butterflies - From ""Pride & Prejudice"" Soundtrack"
Ólafur Arnalds,?ú ert jör?in
Ennio Morricone;Itzhak Perlman;John Williams;Pittsburgh Symphony Orchestra,Cinema Paradiso: Love Theme
boerd,Fjol
Joep Beving,A hunger for the new
Sleeping At Last,Households
Dustin O'Halloran;Hauschka,Lion Theme
Avishai Cohen,Remembering
Midnite String Quartet,Be Quiet and Drive (Far Away)
Library Tapes,"Running by the roads, running by the fields (solo piano)"
Keith Kenniff,Anyone
Nils Frahm,Them
M. Craft,New Horizons
Uno Helmersson;Mari Samuelsen;Jesper Söderqvist;Gunnar Flagstad;Trondheim Soloists,Timelapse
Agnes Obel,Riverside - Piano Sessions
Roberto Cacciapaglia,Atlantico
Yann Tiersen,"Comptine d'un autre été, l'après-midi"
Alexis Ffrench,Angel
Erik Satie;Alexandre Tharaud,Gnossienne: No. 1
Max Richter,Infra 5
Antonymes,251210
Portico Quartet,Life Mask (Interlude)
Oskar Schuster,Vleurgat
Johannes Brahms;Martin Tchiba,Fantasien op. 116: Intermezzo: Adagio
Olivier Messiaen;H?kon Austb?,Preludes: La colombe (The Dove)
Camille Saint-Saëns;Philharmonia Orchestra;Leonard Slatkin,"Saint-Saëns: Le carnaval des animaux, R. 125: XIII. Le cygne (Andantino grazioso)"
Ólafur Arnalds;Mari Samuelsen;Hakon Samuelsen;Trondheim Soloists,Words Of Amber
Ólafur Arnalds,Broken
The Cinematic Orchestra,That Home
Ólafur Arnalds;Nils Frahm,Life Story
Air,Moon Fever
Robert Schumann;Emanuel Gruber;Keiko Sekino,"5 Stücke im Volkston, Op. 102: No. 2, Langsam"
Max Richter,The Haunted Ocean 1
Thad Fiscella,Long Awaited Love
Oskar Schuster,Gizeh
Clint Mansell;Kronos Quartet,The Last Man
Antonio Vivaldi;Janine Jansen;Candida Thompson;Henk Rubingh;Julian Rachlin;Maarten Jansen;Stacey Watton;Liz Kenny;Jan Jansen,"12 Violin Concertos, Op.8 ""Il cimento dell'armonia e dell' invenzione"" / Concerto No. 1 in E Major for solo violin ""La Primavera"" - RV269: 2. Largo"
Dustin O'Halloran;Hauschka,Memories
Hans Zimmer,Time
Nils Frahm,Re
Ludwig van Beethoven;Maria Jo?o Pires,"Piano Sonata No.13 In E Flat, Op.27 No.1: 3. Adagio con espressione"
Debbie Wiseman;Music Lab Collective,Quiet Room
Leo? Janá?ek;Hélène Grimaud,In The Mists: 1. Andante - Live
RJD2,Suite 1
Valgeir Sigur?sson,Erased Duet
Above & Beyond,Surge
Johann Sebastian Bach;James Rhodes,"Partita in B-Flat Major, BWV 825: IV. Sarabande"
Franz Schubert;Anne Gastinel;Claire Désert,Sonata in A Minor D. 821: Adagio
Claude Debussy;Mischa Maisky;Daria Hovora,"Suite bergamasque, L. 75: Clair de lune In D-Flat Major"
Ani Kavafian;Paul Neubauer;Fred Sherry,"Divertimento for String Trio in E-Flat Major, K. 563: II. Adagio"
Chapelier Fou,"Darling, Darling, Darling..."
Conrad Von Der Goltz Chamber Orchestra,"Double Cello Concerto In G Minor, RV 531: I. Allegro"
Max Richter;Louisa Fuller;Natalia Bonner;John Metcalfe;Philip Sheppard;Chris Worsey,On The Nature Of Daylight
Rachel Currea,Time Marches On
Murcof;Vanessa Wagner,Avril 14th (Aphex Twin) - Vanessa Wagner Version
Masayoshi Fujita,Moonlight
Philip Glass;Bruce Brubaker,Metamorphosis 1
Joep Beving,Hanging D
If I Stay,"Suite No. 1 in G Major for Solo Cello, BWV 1007: Prelude (Bonus Track)"
Takénobu,Exposition
Sufjan Stevens,Redford (For Yia-Yia & Pappou)
Blake Leyh,Fear Of Silence
Balmorhea,Bowspirit
Sylvain Chauveau,Mineral
Bing & Ruth,Rails
Alexandre Desplat,Albatross
Ben Zimmerman,Life Without Liz
Arvo Pärt;Paavo Järvi;Estonian National Symphony Orchestra,Pärt: Summa
Ólafur Arnalds;Mari Samuelsen;Hakon Samuelsen;Trondheim Soloists,Near Light
City Fidelia,Lately (Interlude)
Superpoze,Hidden
Taylor Swift,Forever & Always - Piano Version
The Fray,How to Save a Life
Lifehouse,You And Me
Jason Derulo,Whatcha Say - Acoustic Version
Jeff Buckley,Hallelujah
Taylor Swift,Mine
The Goo Goo Dolls,Iris
Maroon 5,She Will Be Loved
The Band Perry,If I Die Young
Sam Tsui,Heaven (originally performed by Bryan Adam)s
Glee Cast,Turning Tables (Glee Cast Version featuring Gwyneth Paltrow)
Bruno Mars,It Will Rain
Iron & Wine,"Flightless Bird, American Mouth"
Sleeping At Last,Turning Page
Ellie Goulding,Your Song
The Fray,You Found Me
Chantal Kreviazuk,Feels Like Home
The Script;will.i.am,Hall of Fame
The Script,Breakeven
Christina Aguilera,Sing For Me
Christina Aguilera;Blake Shelton,Just A Fool
Christina Perri;Steve Kazee,A Thousand Years (feat. Steve Kazee) - Part 2
Iko,Heart Of Stone
Labrinth;Emeli Sandé,Beneath Your Beautiful
Passenger,Let Her Go
Chris Brown,Stuck On Stupid
The Lumineers,Ho Hey
Avicii;Nicky Romero,I Could Be The One - Noonie Bao Acoustic Instrumental Mix
Avicii;Nicky Romero,I Could Be The One - Noonie Bao Acoustic Mix
Birdy,Skinny Love
Ed Sheeran,Give Me Love
Ron Pope,A Drop In The Ocean
Ed Sheeran,I See Fire
Sam Smith,Stay With Me
Echosmith,Cool Kids
Drake;Majid Jordan,"Hold On, We're Going Home"
Milky Chance,Stolen Dance
Ed Sheeran,Thinking Out Loud
Seven Lions;Ellie Goulding,Don't Leave
Nashville Cast;Clare Bowen,Black Roses - Full Band Version
Ellie Goulding,How Long Will I Love You - Bonus Track
Ellie Goulding,Beating Heart
Maroon 5,Beautiful Goodbye
Maroon 5,Sunday Morning
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey"""
Ariana Grande;The Weeknd,Love Me Harder
Sam Smith,Like I Can
Wiz Khalifa;Charlie Puth,See You Again (feat. Charlie Puth)
Adele,Hello
Sam Smith,Lay Me Down
James Bay,Let It Go
Ulf Lundell,När jag kysser havet
Ruth B.,Lost Boy
Ariana Grande,Dangerous Woman
The Civil Wars,Poison & Wine
Shawn Mendes,Mercy - Acoustic
Calum Scott,Dancing On My Own
Christina Grimmie,I Won't Give Up
City of the Sun,Young Folks
Alan Gogoll,Chime
Lindsey Stirling,7 Years (Acoustic) - Recorded at Spotify Studios Nyc
Steve Petrunak,Chandelier (Instrumental Version)
The Man on Guitar,Am I Wrong - Acoustic Guitar Version
Mt. Wolf,Tucana - Instrumental
Joy Williams,Don't Let Me Down (Instrumental)
The O'Neill Brothers Group,Little Talks (Instrumental Version)
The Man on Guitar,Rather Be - Acoustic Guitar Version
Gavin Mikhail,Stay (Instrumental)
Niko Kotoulas,Starboy
Will Taylor and Strings Attached,Apologize an Acoustic Tribute to One Republic
The O'Neill Brothers Group,Young & Beautiful (Instrumental Version)
David Fischbein,Skinny Love
David Fischbein,Let Her Go
Jon Sanders;Dave Khan;Dave Alley,Wolf Whistle (feat. Dave Alley & Dave Khan)
Maxence Cyrin,Crazy in Love
Gavin Mikhail,I Will Wait (Instrumental)
David Sides,Chasing Cars
Steve Petrunak,Rude (Instrumental Version)
David Sides,Viva La Vida
Steve Petrunak,Maps (Instrumental Version)
Ramin Djawadi,No Surprises
The Theorist,Hotline Bling (Piano Arrangement)
Steve Petrunak,Cool Kids (Instrumental Version)
The Man on Guitar,Prayer in C - Acoustic Guitar Version
The Ballroom Thieves,La Mer Peu Profonde
Gavin Mikhail,Wake Me Up (Instrumental)
2Cellos,Game of Thrones Medley
Ely Jaffe,Coming Home
